timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,903.49304,929.18744,881.04706,768.0,4147.91478155026
921600,903.7245,934.45886,878.2248,768.0,5197.168133804007
1382400,919.5893,944.16595,896.1407,768.0,5682.3703246857385
1843200,914.3831,941.1308,891.78326,768.0,5673.601060183178
2304000,925.7971,953.5253,900.59766,768.0,5893.742774723949
2764800,929.1506,949.4179,900.2911,768.0,6050.932179478078
3225600,944.8496,974.0487,916.6211,768.0,6019.495081024724
3686400,950.0337,970.1269,930.97845,768.0,6130.104979377152
4147200,947.75494,969.59955,925.7325,768.0,6219.704727208405
4608000,956.23035,975.66003,932.29694,768.0,6292.326827206219
5068800,965.5243,990.2655,944.8047,768.0,6246.909115012536
5529600,961.1293,985.4354,938.60547,768.0,6304.425735041914
5990400,958.8437,977.871,937.0137,768.0,6350.3212563442175
6451200,960.0597,984.78705,938.6075,768.0,6297.254931424834
6912000,948.1882,973.87885,926.6134,768.0,6333.666372717591
7372800,949.56274,968.4179,931.29504,768.0,6364.12561997971
7833600,964.2341,985.7421,938.11145,768.0,6321.706581046942
8294400,965.20337,986.6347,944.3985,768.0,6353.294017934601
8755200,963.13837,992.90424,938.89655,768.0,6381.390952568113
9216000,966.66125,989.8104,946.1602,768.0,6409.337879132815
9676800,969.0181,989.8729,947.86725,768.0,6377.928214931022
10137600,968.3057,988.69135,946.5488,768.0,6403.819273432563
10598400,973.58264,993.93933,956.916,768.0,6428.2088688514
11059200,975.40906,995.7498,955.1739,768.0,6403.885077508096
11520000,974.8866,992.2128,952.459,768.0,6426.803785603825
11980800,977.61316,1000.17566,958.8672,768.0,6448.340605128685
12441600,978.6123,1000.59753,957.8985,768.0,6424.970169724935
12902400,977.7887,996.26166,957.1192,768.0,6444.937954924865
13363200,979.302,1000.06824,962.78326,768.0,6464.089757923042
13824000,977.93744,998.6483,958.8731,768.0,6481.9717701494055
14284800,977.1037,1001.2831,953.8556,768.0,6460.042169284119
14745600,978.7716,997.3983,960.1133,768.0,6476.004014210019
15206400,981.4112,1002.85144,963.0313,768.0,6492.054755550261
15667200,985.3832,1006.47253,963.168,768.0,6472.140613732569
16128000,987.6002,1005.8455,970.0821,768.0,6486.719203943602
16588800,987.40576,1011.39825,965.4687,768.0,6500.965902313849
17049600,987.6509,1009.2323,966.7675,768.0,6482.366066875402
17510400,987.72815,1006.3456,970.8125,768.0,6496.132803038333
17971200,987.45807,1007.96857,971.1328,768.0,6508.937199941996
18432000,989.0971,1007.082,967.4922,768.0,6521.599415798285
18892800,987.73816,1005.80255,970.57227,768.0,6504.029071488391
19353600,988.45264,1009.43933,969.0235,768.0,6516.171723743983
19814400,989.15295,1012.71857,969.0781,768.0,6528.036641151945
20275200,992.24713,1011.7909,971.9531,768.0,6512.340115349902
20736000,993.259,1011.408,976.416,768.0,6523.292108681832
21196800,995.47015,1018.8084,977.4961,768.0,6533.807725311139
21657600,992.1365,1015.87286,971.8926,768.0,6516.094940424356
22118400,1000.7444,1020.6131,986.99603,768.0,6526.379764319271
22579200,1008.74036,1026.1971,990.8672,768.0,6535.892320130475
23040000,1012.53656,1027.8789,991.6796,768.0,6545.350103128176
23500800,1009.9764,1024.9921,991.61914,768.0,6530.167147601681
23961600,1009.43317,1023.5174,991.4746,768.0,6538.63657512833
24422400,1012.99646,1030.2227,996.7695,768.0,6546.875420772644
24883200,1011.4948,1026.2343,993.36127,768.0,6531.646320739407
25344000,1016.6547,1031.3302,1001.4277,768.0,6539.402785899827
25804800,1026.1567,1045.2351,1006.7597,768.0,6547.07738962245
26265600,1034.4214,1050.4637,1017.50775,768.0,6533.3839323644925
26726400,1041.7335,1058.9954,1019.97455,768.0,6541.004900802754
27187200,1039.6583,1060.8041,1022.8866,768.0,6548.402002666583
27648000,1043.6443,1059.9623,1028.9728,768.0,6555.563829554005
28108800,1046.2343,1063.3804,1027.8906,768.0,6541.852533839588
28569600,1050.4695,1068.8805,1034.3226,768.0,6548.6615998670295
29030400,1050.179,1063.8159,1035.2621,768.0,6555.394538736098
29491200,1052.0408,1068.7223,1036.2855,768.0,6542.30175878607
29952000,1049.2537,1067.4489,1028.168,768.0,6549.2035595782245
30412800,1052.1688,1068.5289,1034.1077,768.0,6555.941490263815
30873600,1053.5629,1066.316,1039.5573,768.0,6543.387992307853
31334400,1053.7241,1069.1853,1034.8773,768.0,6549.871232640774
31795200,1056.4344,1069.8357,1036.8813,768.0,6556.186752868521
32256000,1057.0695,1074.6464,1038.1216,768.0,6562.395276197325
32716800,1060.3916,1071.701,1042.8152,768.0,6550.937144420948
33177600,1055.3405,1068.7615,1039.5024,768.0,6556.75675915358
33638400,1053.1476,1067.1305,1035.9105,768.0,6562.26758739071
34099200,1040.0133,1054.1866,1024.0468,768.0,6547.412861398613
34560000,1053.479,1066.4215,1036.8657,768.0,6552.662436744962
35020800,1048.2633,1065.3784,1029.4767,768.0,6557.491986744334
35481600,1044.8926,1057.2297,1025.2051,768.0,6544.665470669487
35942400,1047.9619,1063.8804,1024.9882,768.0,6549.655353546891
36403200,1045.5934,1063.1577,1028.8126,768.0,6554.503452465096
36864000,1049.0417,1062.8374,1033.016,768.0,6559.747684813738
37324800,1048.9124,1067.2594,1031.6135,768.0,6548.183098805253
37785600,1049.4646,1066.5309,1028.2013,768.0,6552.776235133463
38246400,1052.4955,1066.7731,1036.4691,768.0,6557.933180862557
38707200,1053.7812,1068.906,1030.8147,768.0,6548.664680982295
39168000,1063.6772,1076.8125,1047.452,768.0,6553.953836092349
39628800,1063.7955,1076.6875,1048.5479,768.0,6559.08476133854
40089600,1058.1439,1072.0623,1041.4186,768.0,6549.493394555383
40550400,1056.7542,1071.9197,1036.0258,768.0,6554.454959871238
41011200,1053.7925,1069.3082,1035.8832,768.0,6559.603366828067
41472000,1050.5238,1066.1909,1026.7853,768.0,6564.504802469751
41932800,1053.7146,1072.8925,1034.8715,768.0,6555.788185728022
42393600,1058.3818,1074.3378,1037.2036,768.0,6560.829542092518
42854400,1058.1589,1072.2517,1041.7976,768.0,6565.855791113653
43315200,1059.7937,1074.9198,1043.3015,768.0,6557.496582248355
43776000,1059.4531,1073.5798,1041.4362,768.0,6562.2079560761
44236800,1057.3429,1069.6638,1042.4285,768.0,6566.859598193724
44697600,1050.2108,1065.4624,1022.0409,768.0,6559.089304442791
45158400,1048.5302,1067.1987,1029.6974,768.0,6563.856914977994
45619200,1055.7277,1070.4568,1037.7759,768.0,6568.544038201563
46080000,1050.2375,1067.9489,1032.0178,768.0,6573.25946647537
46540800,1053.1207,1068.7457,1035.3773,768.0,6565.851773779296
47001600,1047.3911,1062.8042,1032.0997,768.0,6569.976025884444
47462400,1043.8267,1059.3645,1021.80457,768.0,6574.110268730346
47923200,1049.6562,1065.1792,1028.422,768.0,6566.064894274358
48384000,1026.663,1049.5557,999.7167,768.0,6569.722094424386
48844800,1042.345,1066.3765,1017.74603,768.0,6573.8939413490725
49305600,1053.8215,1071.7908,1032.764,768.0,6566.6668887124
49766400,1057.6042,1070.6111,1040.6959,768.0,6570.675032767901
